Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
12/4/20,HMKC2PWW9A,12/2/20,13,D,1313.12
12/4/20,HMKC2PWW9A,12/2/20,13,D,3939.38
11/27/20,HM2ZNAF24S,11/25/20,4,N,1380
11/27/20,HM2ZNAF24S,11/25/20,4,N,345
11/17/20,HMJYBTYTKE,11/15/20,4,D,1567.51
11/17/20,HMJYBTYTKE,11/15/20,4,D,522.49
11/4/20,HMY58QN32R,10/2/20,53,N,1069.02
10/24/20,HM5S33TEDP,10/23/20,4,D,520
10/24/20,HM5S33TEDP,10/23/20,4,D,1560
10/19/20,HMQZEKW58E,10/18/20,5,D,1466.25
10/19/20,HMQZEKW58E,10/18/20,5,D,488.75
10/8/20,HMQYQ93BSM,10/7/20,10,D,3078.75
10/8/20,HMQYQ93BSM,10/7/20,10,D,1026.25
10/3/20,HMY58QN32R,10/2/20,53,N,5689.92
10/3/20,HMY58QN32R,10/2/20,53,N,1422.47
9/5/20,HM5TYRYKMY,9/3/20,4,D,275
9/5/20,HM5TYRYKMY,9/3/20,4,D,825
9/3/20,HMNJTTADWP,9/1/20,30,D,1757.49
9/3/20,HMNJTTADWP,9/1/20,30,D,5272.51
9/1/20,HMYZFEDREX,7/30/20,62,N,400
8/23/20,HM8JAWXMA9,7/22/20,41,D,2413.72
8/4/20,HMYZFEDREX,7/30/20,62,N,50
8/4/20,HMYZFEDREX,7/30/20,62,N,12.51
8/1/20,HMYZFEDREX,7/30/20,62,N,1550
7/23/20,HM8JAWXMA9,7/22/20,41,D,2494.18
7/23/20,HM8JAWXMA9,7/22/20,41,D,7482.54
7/21/20,HMNEJ4ZNBM,7/20/20,4,N,319
7/21/20,HMNEJ4ZNBM,7/20/20,4,N,1276
7/16/20,HMTFADJXKR,6/15/20,31,D,101.12
7/16/20,HMTFADJXKR,6/15/20,31,D,33.71
7/14/20,HMDYSFMFCD,6/12/20,59,L,5833.81
7/14/20,HMDYSFMFCD,6/12/20,59,L,1458.45
7/13/20,HMHCWBQZSR,7/12/20,7,N,80
7/13/20,HMHCWBQZSR,7/12/20,7,N,1596
7/13/20,HMHCWBQZSR,7/12/20,7,N,20
7/11/20,HMDYSFMFCD,6/12/20,59,L,0.14
7/11/20,HMDYSFMFCD,6/12/20,59,L,0.04
7/4/20,HMAJD3982H,7/3/20,10,N,1596
7/4/20,HMAJD3982H,7/3/20,10,N,399
7/4/20,HMN9DCW5NX,7/2/20,30,G,1593
7/4/20,HMN9DCW5NX,7/2/20,30,G,1107
6/24/20,HM9PJYEX8H,5/1/20,62,N,72.26
6/24/20,HM9PJYEX8H,5/1/20,62,N,289.03
6/19/20,,,,,309.19
6/17/20,HMTFADJXKR,6/15/20,31,D,1011.29
6/17/20,HMTFADJXKR,6/15/20,31,D,3033.88
6/14/20,HMDYSFMFCD,6/12/20,59,L,1508.71
6/11/20,HMAFHH5CW9,6/10/20,5,Q,18
6/11/20,HMAFHH5CW9,6/10/20,5,Q,4.51
6/11/20,HM9F4F9AZT,6/10/20,4,D,520
6/2/20,HM9PJYEX8H,5/1/20,62,N,773.34
6/2/20,HM9PJYEX8H,5/1/20,62,N,193.33
5/27/20,HMFKFJ2CF2,4/22/20,49,D,123
5/24/20,HMFKFJ2CF2,4/22/20,49,D,1499.89
5/24/20,HMFKFJ2CF2,4/22/20,49,D,499.96
5/15/20,HM9PJYEX8H,5/1/20,62,N,26.66
5/15/20,HM9PJYEX8H,5/1/20,62,N,6.67
5/10/20,HMTPPS5X9B,5/8/20,35,G,1584.55
5/3/20,HM9PJYEX8H,5/1/20,62,N,200
5/3/20,HM9PJYEX8H,5/1/20,62,N,800
5/2/20,,,,,721.44
4/24/20,HMFKFJ2CF2,4/22/20,49,D,4999.62
4/24/20,HMFKFJ2CF2,4/22/20,49,D,1666.54
4/2/20,HMWJZXR52R,4/1/20,29,L,6428
4/2/20,HMWJZXR52R,4/1/20,29,L,1607
3/23/20,HMTPS8P2B5,3/22/20,4,D,0.01
3/23/20,HMAD9DTDHX,2/22/20,35,N,1360.45
3/10/20,HMBSK2XYQH,3/8/20,12,Q,648
3/10/20,HMBSK2XYQH,3/8/20,12,Q,2592
3/4/20,HMXBKFAMCH,3/2/20,2,G,5
3/4/20,HMQW425MMC,3/2/20,30,L,7346
3/4/20,HMQW425MMC,3/2/20,30,L,1836.5
3/3/20,HMHB5W8W22,3/1/20,7,D,371.88
3/3/20,HMHB5W8W22,3/1/20,7,D,1115.62
2/27/20,HM5D4YS28X,2/25/20,3,L,1184
2/27/20,HM5D4YS28X,2/25/20,3,L,296
2/24/20,HMAD9DTDHX,2/22/20,35,N,1643.89
2/23/20,HM4B8M4PHY,2/1/20,21,G,373.91
2/19/20,HMC4AAR2C2,2/17/20,7,D,813.75
2/19/20,HMC4AAR2C2,2/17/20,7,D,2441.25
2/12/20,HM3ETZQPTP,2/10/20,7,Q,1572
2/12/20,HM3ETZQPTP,2/10/20,7,Q,393
2/5/20,HMYS9JHBXW,2/3/20,4,D,1710
2/5/20,HMYS9JHBXW,2/3/20,4,D,570
2/3/20,HM4B8M4PHY,2/1/20,21,G,6803.59
1/30/20,HMWZFBY5X9,1/28/20,11,Q,597
1/27/20,HMTT2K4QXN,1/25/20,15,N,3756
1/27/20,HMTT2K4QXN,1/25/20,15,N,939
1/23/20,HM3925BX5Z,1/21/20,7,L,534.58
1/23/20,HM3925BX5Z,1/21/20,7,L,2138.32
1/15/20,HM29HCFFJ4,1/12/20,6,G,607.6
1/15/20,HMJZ3BDJND,1/13/20,4,Q,276
1/15/20,HM29HCFFJ4,1/12/20,6,G,2430.4
1/15/20,HMJZ3BDJND,1/13/20,4,Q,1104
1/14/20,HMR2WFSKHW,1/12/20,6,N,339
1/13/20,HMNQ3XK3JE,1/11/20,5,D,1935
1/13/20,HMNQ3XK3JE,1/11/20,5,D,645
1/6/20,HMXJ9M9BTK,1/4/20,16,L,1146.04
1/6/20,HMXJ9M9BTK,1/4/20,16,L,4584.16
1/6/20,HMACBZF2WE,1/4/20,28,G,100
1/1/20,HMAPDPJRRN,11/30/19,43,N,110
12/30/19,HMANMXMQBY,12/28/19,5,Q,1202.4
12/30/19,HMANMXMQBY,12/28/19,5,Q,300.6
12/30/19,HMZQYSNKCR,12/28/19,5,L,1816
12/30/19,HMZQYSNKCR,12/28/19,5,L,454
12/24/19,HMAP4RPJZ5,12/23/19,4,Q,874.4
12/24/19,HMAP4RPJZ5,12/23/19,4,Q,218.6
12/16/19,HMAM554CDY,12/14/19,3,D,1335
12/16/19,HMAM554CDY,12/14/19,3,D,445
12/15/19,HMAKM9T4XE,12/9/19,11,L,1032.01
12/15/19,HMAKM9T4XE,12/9/19,11,L,258
12/12/19,HMAFREBYYY,12/10/19,10,G,1105
12/12/19,HMAFREBYYY,12/10/19,10,G,4420
12/11/19,HMAKM9T4XE,12/9/19,11,L,2042
12/11/19,HMAABHNNJP,12/9/19,7,Q,1215
12/11/19,HMAKM9T4XE,12/9/19,11,L,510.49
12/10/19,HMADHY2ACH,12/8/19,2,P,160
12/9/19,HMARNYYHQH,12/7/19,7,D,857.49
12/3/19,HMAQ3PJP2K,12/1/19,4,P,560
12/3/19,HMAQ3PJP2K,12/1/19,4,P,140
12/2/19,HMAPDPJRRN,11/30/19,43,N,1419
11/29/19,HMAK4T5J59,11/27/19,4,L,375
11/29/19,HMARBH835P,11/27/19,7,Q,368.5
11/29/19,HMAK4T5J59,11/27/19,4,L,1500
11/29/19,HMAAHD9JRP,11/27/19,4,P,140
11/29/19,HMARBH835P,11/27/19,7,Q,1474
11/28/19,HMAJPAYJRK,11/26/19,4,D,520
11/28/19,HMAJPAYJRK,11/26/19,4,D,1560
11/23/19,HMADCSNF38,11/21/19,17,G,90
11/23/19,HMADCSNF38,11/21/19,17,G,360
11/20/19,HMANZ5W8SH,11/18/19,5,N,414
11/20/19,HMAJEST932,11/18/19,9,Q,418.5
11/20/19,HMANZ5W8SH,11/18/19,5,N,1656
11/20/19,HMACBP94HP,11/18/19,3,L,296
11/19/19,HMAQMRTJEZ,11/17/19,3,G,2240
11/19/19,HMAHY3HKBQ,11/17/19,6,D,2010
11/19/19,HMAHY3HKBQ,11/17/19,6,D,670
11/9/19,HMAPMZD4D5,11/3/19,14,L,1732.08
11/9/19,HMAPMZD4D5,11/3/19,14,L,433.02
11/6/19,HMACYFQFRB,11/4/19,10,D,2835
11/6/19,HMAKKQJSNH,11/4/19,11,N,740.25
11/6/19,HMAKKQJSNH,11/4/19,11,N,2961
11/6/19,HMACYFQFRB,11/4/19,10,D,945
11/4/19,HMAPMZD4D5,11/3/19,14,L,534.58
11/4/19,HMAPMZD4D5,11/3/19,14,L,2138.32
10/30/19,HMAA2Q29BC,10/29/19,5,D,1531
10/26/19,HMAJB3JFXD,10/25/19,3,L,1418.4
10/26/19,HMAJB3JFXD,10/25/19,3,L,354.6
10/26/19,HMAHJJ9QSZ,10/25/19,28,P,620
10/26/19,HMAN2DPZPJ,10/25/19,8,N,2644.32
10/25/19,HMACQWF2SA,10/24/19,3,G,470
10/25/19,HMACQWF2SA,10/24/19,3,G,1880
10/23/19,HMABB28SP8,10/22/19,3,L,1750.4
10/23/19,HMABB28SP8,10/22/19,3,L,437.6
10/22/19,HMAN8HXA28,10/21/19,4,P,520
10/22/19,HMAN8HXA28,10/21/19,4,P,130
10/22/19,HMAHDASMHS,10/16/19,6,L,
10/22/19,HMAHDASMHS,10/16/19,6,L,
10/22/19,HMAHDASMHS,10/16/19,6,L,100
10/17/19,HMAHDASMHS,10/16/19,6,L,298.76
10/17/19,HMAHDASMHS,10/16/19,6,L,1195.04
10/12/19,HMAAK9WEMY,10/11/19,8,Q,443.83
10/12/19,HMAAK9WEMY,10/11/19,8,Q,1775.32
10/11/19,HMAFQBNQ8N,10/10/19,15,N,3996
10/11/19,HMAFQBNQ8N,10/10/19,15,N,999
10/10/19,HMAN9H3TND,10/9/19,6,L,2849.6
10/10/19,HMAN9H3TND,10/9/19,6,L,712.4
10/7/19,HMADCHWJX4,10/6/19,4,N,347
10/7/19,HMADCHWJX4,10/6/19,4,N,1388
10/4/19,HMARX8FF2M,10/3/19,3,P,480
7/29/19,HMAFDE2Q9R,7/28/19,7,F,1581.22
7/29/19,HMAFDE2Q9R,7/28/19,7,F,445.98
7/28/19,HMAQS9JFRQ,7/27/19,21,Q,4428
7/28/19,HMAQS9JFRQ,7/27/19,21,Q,1107
7/25/19,HMAADWAQTC,6/24/19,31,Q,146.45
7/25/19,HMAADWAQTC,6/24/19,31,Q,36.61
